date,policy_rate,ca_2y,ca_5y,ca_10y,slope_10y_2y,curvature
2001-01-02,,5.11,5.19,5.28,0.16999999999999993,-0.009999999999999787
2001-01-03,,5.11,5.28,5.43,0.3199999999999994,0.020000000000000462
2001-01-04,,4.99,5.2,5.39,0.39999999999999947,0.020000000000000462
2001-01-05,,4.88,5.1,5.32,0.4400000000000004,-8.881784197001252e-16
2001-01-08,,4.89,5.12,5.35,0.45999999999999996,8.881784197001252e-16
2001-01-09,,4.95,5.17,5.37,0.41999999999999993,0.019999999999999574
2001-01-10,,5.0,5.21,5.41,0.41000000000000014,0.009999999999999787
2001-01-11,,4.99,5.21,5.41,0.41999999999999993,0.019999999999999574
2001-01-12,,5.04,5.24,5.45,0.41000000000000014,-0.009999999999999787
2001-01-15,,5.04,5.24,5.45,0.41000000000000014,-0.009999999999999787
2001-01-16,,5.07,5.27,5.45,0.3799999999999999,0.019999999999998685
2001-01-17,,5.06,5.24,5.41,0.35000000000000053,0.010000000000000675
2001-01-18,,4.99,5.19,5.39,0.39999999999999947,8.881784197001252e-16
2001-01-19,,4.99,5.21,5.43,0.4399999999999995,0.0
2001-01-22,,5.04,5.25,5.46,0.41999999999999993,0.0
2001-01-23,,5.04,5.27,5.48,0.4400000000000004,0.019999999999998685
2001-01-24,,5.08,5.3,5.51,0.4299999999999997,0.009999999999999787
2001-01-25,,5.03,5.25,5.46,0.4299999999999997,0.009999999999999787
2001-01-26,,5.01,5.24,5.46,0.4500000000000002,0.010000000000000675
2001-01-29,,4.99,5.23,5.46,0.46999999999999975,0.010000000000000675
2001-01-30,,4.95,5.21,5.45,0.5,0.019999999999999574
2001-01-31,,4.88,5.14,5.39,0.5099999999999998,0.009999999999999787
2001-02-01,,4.87,5.13,5.37,0.5,0.019999999999999574
2001-02-02,,4.96,5.21,5.43,0.46999999999999975,0.03000000000000025
2001-02-05,,4.96,5.2,5.41,0.4500000000000002,0.03000000000000025
2001-02-06,,4.95,5.2,5.41,0.45999999999999996,0.040000000000000036
2001-02-07,,4.94,5.19,5.41,0.46999999999999975,0.03000000000000025
2001-02-08,,4.95,5.18,5.39,0.4399999999999995,0.019999999999999574
2001-02-09,,4.92,5.15,5.37,0.4500000000000002,0.010000000000000675
2001-02-12,,4.94,5.17,5.38,0.4399999999999995,0.019999999999999574
2001-02-13,,4.99,5.21,5.42,0.4299999999999997,0.009999999999999787
2001-02-14,,5.07,5.29,5.48,0.41000000000000014,0.02999999999999936
2001-02-15,,5.05,5.28,5.52,0.46999999999999975,-0.009999999999998899
2001-02-16,,4.97,5.22,5.47,0.5,0.0
2001-02-19,,4.95,5.21,5.47,0.5199999999999996,0.0
2001-02-20,,4.96,5.23,5.48,0.5200000000000005,0.020000000000000462
2001-02-21,,4.94,5.2,5.48,0.54,-0.020000000000000462
2001-02-22,,4.92,5.2,5.49,0.5700000000000003,-0.009999999999999787
2001-02-23,,4.88,5.17,5.47,0.5899999999999999,-0.009999999999999787
2001-02-26,,4.81,5.11,5.43,0.6200000000000001,-0.019999999999998685
2001-02-27,,4.8,5.07,5.36,0.5600000000000005,-0.019999999999999574
2001-02-28,,4.81,5.09,5.36,0.5500000000000007,0.009999999999999787
2001-03-01,,4.83,5.09,5.34,0.5099999999999998,0.009999999999999787
2001-03-02,,4.85,5.11,5.36,0.5100000000000007,0.010000000000000675
2001-03-05,,4.86,5.11,5.36,0.5,0.0
2001-03-06,,4.76,5.06,5.34,0.5800000000000001,0.019999999999999574
2001-03-07,,4.72,5.01,5.29,0.5700000000000003,0.009999999999999787
2001-03-08,,4.71,5.0,5.29,0.5800000000000001,0.0
2001-03-09,,4.73,5.02,5.29,0.5599999999999996,0.019999999999998685
2001-03-12,,4.67,4.97,5.26,0.5899999999999999,0.009999999999999787
2001-03-13,,4.71,5.01,5.3,0.5899999999999999,0.009999999999999787
2001-03-14,,4.62,4.93,5.24,0.6200000000000001,-8.881784197001252e-16
2001-03-15,,4.53,4.88,5.22,0.6899999999999995,0.009999999999999787
2001-03-16,,4.53,4.87,5.2,0.6699999999999999,0.009999999999999787
2001-03-19,,4.62,4.9,5.22,0.5999999999999996,-0.03999999999999915
2001-03-20,,4.54,4.83,5.18,0.6399999999999997,-0.05999999999999961
2001-03-21,,4.54,4.85,5.21,0.6699999999999999,-0.05000000000000071
2001-03-22,,4.52,4.82,5.2,0.6800000000000006,-0.07999999999999918
2001-03-23,,4.58,4.91,5.27,0.6899999999999995,-0.02999999999999936
2001-03-26,,4.61,4.94,5.33,0.7199999999999998,-0.05999999999999961
2001-03-27,,4.74,5.08,5.45,0.71,-0.03000000000000025
2001-03-28,,4.69,5.03,5.41,0.7199999999999998,-0.040000000000000036
2001-03-29,,4.73,5.08,5.45,0.7199999999999998,-0.020000000000000462
2001-03-30,,4.76,5.08,5.42,0.6600000000000001,-0.019999999999999574
2001-04-02,,4.87,5.19,5.52,0.6499999999999995,-0.009999999999998899
2001-04-03,,4.79,5.11,5.44,0.6500000000000004,-0.009999999999999787
2001-04-04,,4.71,5.05,5.42,0.71,-0.03000000000000025
2001-04-05,,4.77,5.11,5.47,0.7000000000000002,-0.019999999999998685
2001-04-06,,4.64,5.01,5.41,0.7700000000000005,-0.03000000000000025
