date,BMO.TO,BNS.TO,CADUSD=X,CL=F,CM.TO,GC=F,NA.TO,RY.TO,TD.TO,XFN.TO,XIU.TO,ZEB.TO,^DJI,^GSPC,^GSPTSE,^IXIC,^VIX
2012-01-03,30.589080810546875,25.56913948059082,0.9828975796699524,102.95999908447266,18.73903465270996,1599.699951171875,20.31717300415039,29.968276977539062,21.49501609802246,13.510652542114258,11.548404693603516,9.73320198059082,12397.3798828125,1277.06005859375,12208.400390625,2648.719970703125,22.969999313354492
2012-01-04,30.7982120513916,25.643321990966797,0.9890217781066896,103.22000122070312,18.76649475097656,1611.9000244140625,20.331104278564453,30.064800262451172,21.50062561035156,13.56068992614746,11.548404693603516,9.762141227722168,12418.419921875,1277.300048828125,12226.5,2648.360107421875,22.219999313354492
2012-01-05,30.81966209411621,25.539461135864254,0.9867772459983826,101.80999755859376,18.771482467651367,1619.4000244140625,20.20575714111328,29.71845436096191,21.514659881591797,13.516907691955566,11.555015563964844,9.73898696899414,12415.7001953125,1281.06005859375,12237.400390625,2669.860107421875,21.479999542236328
2012-01-06,31.098541259765625,25.435606002807617,0.9807767271995544,101.55999755859376,18.634191513061523,1616.0999755859375,20.119409561157227,29.553791046142575,21.464134216308594,13.454347610473633,11.508742332458496,9.710033416748049,12359.919921875,1277.81005859375,12188.599609375,2674.219970703125,20.6299991607666
2012-01-09,31.071712493896484,25.574077606201172,0.9717229008674622,101.30999755859376,18.719064712524418,1607.5,20.094341278076172,29.661659240722656,21.54553985595703,13.49813461303711,11.521960258483888,9.727407455444336,12392.6904296875,1280.699951171875,12196.7001953125,2676.56005859375,21.06999969482422
2012-01-10,31.23260498046875,25.653209686279297,0.978090763092041,102.23999786376952,18.70408821105957,1631.0,20.04420280456543,29.769554138183594,21.565183639526367,13.535664558410645,11.60789394378662,9.74477481842041,12462.4697265625,1292.0799560546875,12270.7001953125,2702.5,20.690000534057617
2012-01-11,31.24867820739746,25.534517288208008,0.9835742712020874,100.87000274658205,18.6217098236084,1639.199951171875,20.14727020263672,29.87175941467285,21.61290168762207,13.554435729980469,11.60128688812256,9.750572204589844,12449.4501953125,1292.47998046875,12260.900390625,2710.760009765625,21.049999237060547
2012-01-12,31.45783233642578,25.816421508789062,0.9821252822875975,99.0999984741211,18.75901222229004,1647.300048828125,20.289325714111328,29.96261215209961,21.809383392333984,13.654512405395508,11.634339332580566,9.82583713531494,12471.01953125,1295.5,12274.2998046875,2724.699951171875,20.469999313354492
2012-01-13,31.237960815429688,25.752124786376953,0.9823182821273804,98.6999969482422,18.629194259643555,1630.4000244140625,20.31717300415039,29.576509475708008,21.823415756225582,13.591964721679688,11.59467887878418,9.773727416992188,12422.0595703125,1289.0899658203125,12231.099609375,2710.669921875,20.90999984741211
2012-01-17,31.291582107543945,25.623546600341797,0.9827043414115906,100.70999908447266,18.75401306152344,1655.199951171875,20.36453437805176,29.423206329345703,21.81218719482422,13.604475021362305,11.60128688812256,9.773727416992188,12482.0703125,1293.6700439453125,12232.7998046875,2728.080078125,22.200000762939453
2012-01-18,31.45783233642578,25.994461059570312,0.9854158759117126,100.58999633789062,18.778976440429688,1659.5,20.5985107421875,29.780908584594727,21.669044494628903,13.704557418823242,11.68061351776123,9.843207359313965,12578.9501953125,1308.0400390625,12327.5,2769.7099609375,20.88999938964844
2012-01-19,32.01555252075195,26.696739196777344,0.9886307716369628,100.38999938964844,19.046062469482425,1654.0999755859375,21.163963317871097,30.149974822998047,21.955337524414062,13.90471649169922,11.740108489990234,10.028496742248535,12623.98046875,1314.5,12380.7001953125,2788.330078125,19.8700008392334
2012-01-20,32.17107391357422,26.711584091186523,0.9886307716369628,98.45999908447266,19.19084930419922,1663.699951171875,21.336658477783203,30.575824737548828,22.21637725830078,14.029812812805176,11.746719360351562,10.097978591918944,12720.48046875,1315.3800048828125,12397.099609375,2786.699951171875,18.280000686645508
2012-01-23,32.755611419677734,26.978654861450195,0.9852216839790344,99.58000183105467,19.470422744750977,1678.0,21.59013557434082,31.126577377319336,22.502674102783203,14.217456817626951,11.885536193847656,10.242728233337402,12708.8203125,1316.0,12521.7001953125,2784.169921875,18.670000076293945
2012-01-24,32.58401107788086,26.67696952819824,0.9926642179489136,98.9499969482422,19.37806701660156,1664.199951171875,21.545564651489254,30.84559631347656,22.213565826416016,14.117369651794434,11.759937286376951,10.16745948791504,12675.75,1314.6500244140625,12395.2001953125,2786.639892578125,18.90999984741211
2012-01-25,32.54646301269531,26.469253540039062,0.9910803437232972,99.4000015258789,19.19084930419922,1699.800048828125,21.375652313232425,30.524463653564453,22.098487854003903,14.032060623168944,11.892146110534668,10.103771209716797,12758.849609375,1326.06005859375,12539.2001953125,2818.31005859375,18.309999465942383
